"filename","IRT","Average","Greedy","GreedyMean","ICWA","Max","Thres","Cor90","Cor80","Cor70"
"auto6_1_C2_P02_V05_CA1",0.654016589023975,0.649926144756278,0.666628792182707,0.665492557663902,0.609021702079309,0.627428701283945,0.650039768208158,8,18,28
"auto6_1_C2_P02_V06_CA0",0.541529371662311,0.539143279172821,0.487671855470969,0.533234859675037,0.545051698670606,0.52425860697648,0.541642995114192,8,18,32
"auto6_1_C2_P02_V06_CA1",0.555959550051131,0.551528235427792,0.566640154527895,0.541074877854789,0.578911487330985,0.568514941483922,0.563799568230883,10,18,26
"auto6_1_C2_P02_V07_CA0",0.486535620952165,0.498806953755255,0.498806953755255,0.499034200659016,0.514827860470401,0.470173843881377,0.480854448358141,8,18,32
"auto6_1_C2_P02_V07_CA1",0.457220770367004,0.469264856266333,0.470401090785138,0.473582547437791,0.486081127144643,0.502670151119191,0.43932507669583,8,18,28
"auto6_1_C2_P02_V08_CA0",0.574139302352005,0.55584592659925,0.551641858879673,0.566867401431655,0.513123508692194,0.535393705260766,0.571753209862516,8,18,32
"auto6_1_C2_P02_V08_CA1",0.557891148733099,0.5631178275196,0.536870810135212,0.540620384047267,0.607203726849222,0.6067492330417,0.534825588001363,10,18,28
"auto6_1_C2_P02_V09_CA0",0.727985456198159,0.738552437223043,0.728439950005681,0.74037041245313,0.714123395068742,0.70151119191001,0.733325758436541,8,18,32
"auto6_1_C2_P02_V09_CA1",0.717645722077037,0.729235314168844,0.731166912850812,0.730257925235769,0.719350073855244,0.688898988751278,0.744233609817066,10,18,26
"auto6_1_C2_P02_V10_CA0",0.603908646744688,0.611294171116919,0.620043176911715,0.599022838313828,0.628905806158391,0.649017157141234,0.632769003522327,8,18,32
"auto6_1_C2_P02_V10_CA1",0.584479036473128,0.617429837518464,0.629587546869674,0.598681967958187,0.658788774002954,0.61413475741393,0.615611862288376,8,18,28
"auto6_1_C2_P05_V01_CA0",0.488710698459591,0.477906731377928,0.468664275163537,0.476809453471196,0.457353872124921,0.473137792783288,0.493606246043469,8,18,32
"auto6_1_C2_P05_V01_CA1",0.493184216079342,0.483688541886474,0.475290145600338,0.473855243722304,0.47702046845326,0.486220721671239,0.488035450516987,8,18,28
